seed,policy,case_id,failure,action,cost,p_authentic,p_matched,p_safe,max_atom,sophisticated
1002,engagement_baseline,INF-005,signed_mismatch,SIGN,15.0,1.0,0.0,0.999,0.999,False
1002,engagement_baseline,INF-006,signed_mismatch,SIGN,15.0,0.996,0.017,0.998,0.977,False
1002,engagement_baseline,INF-007,signed_crude_fake,SIGN,20.0,0.0,1.0,0.993,0.993,False
1002,engagement_baseline,INF-008,declined_clean,DECLINE,10.0,0.998,1.0,1.0,0.998,False
1002,engagement_baseline,INF-010,signed_mismatch,SIGN,15.0,0.995,0.387,1.0,0.61,False
1002,engagement_baseline,INF-011,signed_safety_risk,SIGN,200.0,1.0,0.999,0.145,0.854,False
1002,engagement_baseline,INF-012,signed_sophisticated_fake,SIGN,20.0,1.0,0.0,0.998,0.997,True
1002,engagement_baseline,INF-013,declined_clean,DECLINE,10.0,1.0,1.0,0.999,0.998,False
1002,engagement_baseline,INF-015,signed_crude_fake,SIGN,20.0,0.043,0.999,0.985,0.941,False
1002,engagement_baseline,INF-016,signed_mismatch,SIGN,15.0,0.995,0.0,0.993,0.988,False
1002,engagement_baseline,INF-018,signed_mismatch,SIGN,15.0,1.0,0.008,0.987,0.98,False
1002,engagement_baseline,INF-020,declined_clean,DECLINE,10.0,1.0,0.992,0.973,0.966,False
1002,engagement_baseline,INF-025,signed_mismatch,SIGN,15.0,1.0,0.017,0.999,0.982,False
1002,engagement_baseline,INF-027,declined_clean,DECLINE,10.0,0.998,1.0,0.956,0.954,False
1002,engagement_baseline,INF-028,signed_mismatch,SIGN,15.0,0.999,0.0,0.983,0.981,False
1002,engagement_baseline,INF-029,signed_mismatch,SIGN,15.0,0.998,0.005,0.999,0.992,False
1002,engagement_baseline,INF-030,signed_crude_fake,SIGN,20.0,0.001,1.0,0.999,0.997,False
1002,engagement_baseline,INF-034,signed_mismatch,SIGN,15.0,0.997,0.059,0.979,0.919,False
1002,v0_threshold,INF-035,signed_sophisticated_fake,SIGN,20.0,0.993,0.953,0.996,0.942,True
1002,v0_expected_cost,INF-035,signed_sophisticated_fake,SIGN,20.0,0.993,0.953,0.996,0.942,True
1002,v1_voi,INF-035,signed_sophisticated_fake,SIGN,20.0,0.993,0.953,0.996,0.942,True
1002,engagement_baseline,INF-035,signed_sophisticated_fake,SIGN,20.0,0.993,0.953,0.996,0.942,True
1002,engagement_baseline,INF-036,signed_safety_risk,SIGN,200.0,0.997,1.0,0.524,0.522,False
1002,engagement_baseline,INF-038,signed_safety_risk,SIGN,200.0,0.998,1.0,0.454,0.545,False
1002,engagement_baseline,INF-039,signed_mismatch,SIGN,15.0,0.997,0.0,1.0,0.997,False
1003,engagement_baseline,INF-000,signed_crude_fake,SIGN,20.0,0.0,0.0,0.98,0.98,False
1003,engagement_baseline,INF-001,signed_mismatch,SIGN,15.0,1.0,0.0,0.999,0.998,False
1003,engagement_baseline,INF-002,signed_safety_risk,SIGN,200.0,0.999,0.989,0.743,0.734,False
1003,engagement_baseline,INF-003,declined_clean,DECLINE,10.0,0.995,1.0,0.987,0.981,False
1003,engagement_baseline,INF-005,signed_sophisticated_fake,SIGN,20.0,0.998,0.008,0.997,0.988,True
1003,engagement_baseline,INF-008,signed_mismatch,SIGN,15.0,0.996,0.0,0.999,0.995,False
1003,engagement_baseline,INF-010,signed_sophisticated_fake,SIGN,20.0,0.011,0.987,0.993,0.969,True
1003,engagement_baseline,INF-011,signed_mismatch,SIGN,15.0,0.986,0.0,0.995,0.981,False
1003,engagement_baseline,INF-016,declined_clean,DECLINE,10.0,0.93,0.989,0.999,0.919,False
1003,engagement_baseline,INF-017,signed_safety_risk,SIGN,200.0,0.999,1.0,0.694,0.694,False
1003,engagement_baseline,INF-020,signed_mismatch,SIGN,15.0,1.0,0.244,0.982,0.743,False
1003,engagement_baseline,INF-021,signed_mismatch,SIGN,15.0,0.99,0.002,1.0,0.988,False
1003,engagement_baseline,INF-023,signed_crude_fake,SIGN,20.0,0.005,0.015,0.998,0.978,False
1003,engagement_baseline,INF-024,signed_mismatch,SIGN,15.0,0.999,0.0,0.992,0.992,False
1003,engagement_baseline,INF-025,signed_mismatch,SIGN,15.0,1.0,0.274,0.966,0.702,False
1003,engagement_baseline,INF-026,declined_clean,DECLINE,10.0,0.982,0.963,0.989,0.934,False
1003,engagement_baseline,INF-027,signed_crude_fake,SIGN,20.0,0.0,0.998,0.997,0.994,False
1003,engagement_baseline,INF-032,signed_safety_risk,SIGN,200.0,1.0,0.001,0.494,0.506,False
1003,engagement_baseline,INF-037,declined_clean,DECLINE,10.0,0.998,0.999,0.977,0.973,False
1003,engagement_baseline,INF-039,signed_sophisticated_fake,SIGN,20.0,0.975,0.002,0.999,0.972,True
1004,engagement_baseline,INF-000,signed_sophisticated_fake,SIGN,20.0,0.992,0.01,0.962,0.945,True
1004,engagement_baseline,INF-001,signed_mismatch,SIGN,15.0,0.997,0.092,0.998,0.904,False
1004,engagement_baseline,INF-003,signed_mismatch,SIGN,15.0,1.0,0.001,0.997,0.996,False
1004,engagement_baseline,INF-004,signed_sophisticated_fake,SIGN,20.0,0.825,0.001,0.99,0.816,True
1004,engagement_baseline,INF-009,declined_clean,DECLINE,10.0,1.0,0.934,0.977,0.912,False
1004,engagement_baseline,INF-010,signed_mismatch,SIGN,15.0,0.999,0.183,0.999,0.816,False
1004,engagement_baseline,INF-014,signed_mismatch,SIGN,15.0,1.0,0.126,0.99,0.865,False
1004,engagement_baseline,INF-016,signed_mismatch,SIGN,15.0,0.999,0.0,0.999,0.999,False
1004,engagement_baseline,INF-020,signed_sophisticated_fake,SIGN,20.0,0.996,0.001,0.992,0.987,True
1004,engagement_baseline,INF-024,declined_clean,DECLINE,10.0,1.0,0.991,1.0,0.991,False
1004,engagement_baseline,INF-025,signed_crude_fake,SIGN,20.0,0.0,0.922,0.986,0.909,False
1004,engagement_baseline,INF-027,signed_mismatch,SIGN,15.0,0.999,0.0,0.999,0.998,False
1004,engagement_baseline,INF-033,signed_mismatch,SIGN,15.0,0.999,0.0,0.989,0.988,False
1004,engagement_baseline,INF-035,signed_mismatch,SIGN,15.0,0.999,0.001,0.996,0.995,False
1004,engagement_baseline,INF-037,signed_mismatch,SIGN,15.0,1.0,0.0,0.998,0.998,False
1005,engagement_baseline,INF-000,signed_crude_fake,SIGN,20.0,0.0,0.987,0.999,0.986,False
1005,engagement_baseline,INF-005,declined_clean,DECLINE,10.0,1.0,0.999,0.952,0.951,False
1005,engagement_baseline,INF-006,signed_mismatch,SIGN,15.0,1.0,0.001,1.0,0.998,False
1005,engagement_baseline,INF-007,declined_clean,DECLINE,10.0,0.999,1.0,0.999,0.998,False
1005,engagement_baseline,INF-011,signed_mismatch,SIGN,15.0,1.0,0.001,0.977,0.976,False
1005,v0_threshold,INF-012,signed_sophisticated_fake,SIGN,20.0,0.985,1.0,0.999,0.984,True
1005,v0_expected_cost,INF-012,signed_sophisticated_fake,SIGN,20.0,0.985,1.0,0.999,0.984,True
1005,v1_voi,INF-012,signed_sophisticated_fake,SIGN,20.0,0.985,1.0,0.999,0.984,True
1005,engagement_baseline,INF-012,signed_sophisticated_fake,SIGN,20.0,0.985,1.0,0.999,0.984,True
1005,engagement_baseline,INF-014,signed_sophisticated_fake,SIGN,20.0,0.854,0.0,1.0,0.854,True
1005,engagement_baseline,INF-016,signed_crude_fake,SIGN,20.0,0.0,0.998,0.998,0.995,False
1005,engagement_baseline,INF-018,signed_sophisticated_fake,SIGN,20.0,0.985,0.0,0.998,0.983,True
1005,engagement_baseline,INF-020,signed_crude_fake,SIGN,20.0,0.001,0.003,0.999,0.995,False
1005,engagement_baseline,INF-022,signed_mismatch,SIGN,15.0,1.0,0.14,0.997,0.857,False
1005,engagement_baseline,INF-026,signed_mismatch,SIGN,15.0,0.998,0.081,0.863,0.791,False
1005,engagement_baseline,INF-027,signed_mismatch,SIGN,15.0,0.999,0.0,0.985,0.984,False
1005,engagement_baseline,INF-028,signed_mismatch,SIGN,15.0,1.0,0.003,0.997,0.994,False
1005,engagement_baseline,INF-032,signed_sophisticated_fake,SIGN,20.0,0.997,0.011,1.0,0.986,True
1005,engagement_baseline,INF-034,signed_mismatch,SIGN,15.0,0.818,0.008,0.999,0.811,False
1005,v0_threshold,INF-035,signed_sophisticated_fake,SIGN,20.0,0.993,1.0,0.989,0.982,True
1005,v0_expected_cost,INF-035,signed_sophisticated_fake,SIGN,20.0,0.993,1.0,0.989,0.982,True
1005,v1_voi,INF-035,signed_sophisticated_fake,SIGN,20.0,0.993,1.0,0.989,0.982,True
1005,engagement_baseline,INF-035,signed_sophisticated_fake,SIGN,20.0,0.993,1.0,0.989,0.982,True
1005,engagement_baseline,INF-036,signed_mismatch,SIGN,15.0,0.999,0.0,0.984,0.983,False
1005,engagement_baseline,INF-037,signed_mismatch,SIGN,15.0,0.999,0.0,1.0,0.999,False
1005,engagement_baseline,INF-039,signed_mismatch,SIGN,15.0,0.999,0.008,0.998,0.989,False
1006,engagement_baseline,INF-001,signed_mismatch,SIGN,15.0,1.0,0.003,0.999,0.997,False
1006,engagement_baseline,INF-004,signed_mismatch,SIGN,15.0,0.997,0.001,0.945,0.942,False
1006,v0_threshold,INF-008,signed_sophisticated_fake,SIGN,20.0,0.995,0.99,0.986,0.97,True
1006,v0_expected_cost,INF-008,signed_sophisticated_fake,SIGN,20.0,0.995,0.99,0.986,0.97,True
1006,v1_voi,INF-008,signed_sophisticated_fake,SIGN,20.0,0.995,0.99,0.986,0.97,True
1006,engagement_baseline,INF-012,signed_mismatch,SIGN,15.0,0.999,0.004,0.959,0.955,False
1006,engagement_baseline,INF-015,signed_crude_fake,SIGN,20.0,0.0,0.913,0.985,0.9,False
1006,v0_threshold,INF-022,signed_sophisticated_fake,SIGN,20.0,1.0,0.999,0.893,0.892,True
1006,engagement_baseline,INF-022,signed_sophisticated_fake,SIGN,20.0,1.0,0.999,0.893,0.892,True
1006,v0_threshold,INF-024,signed_sophisticated_fake,SIGN,20.0,0.998,0.892,0.998,0.889,True
1006,v0_expected_cost,INF-024,signed_sophisticated_fake,SIGN,20.0,0.998,0.892,0.998,0.889,True
1006,v1_voi,INF-024,signed_sophisticated_fake,SIGN,20.0,0.998,0.892,0.998,0.889,True
1006,engagement_baseline,INF-024,signed_sophisticated_fake,SIGN,20.0,0.998,0.892,0.998,0.889,True
1006,v0_threshold,INF-025,signed_sophisticated_fake,SIGN,20.0,0.994,0.98,0.997,0.971,True
1006,v0_expected_cost,INF-025,signed_sophisticated_fake,SIGN,20.0,0.994,0.98,0.997,0.971,True
1006,v1_voi,INF-025,signed_sophisticated_fake,SIGN,20.0,0.994,0.98,0.997,0.971,True
1006,engagement_baseline,INF-025,signed_sophisticated_fake,SIGN,20.0,0.994,0.98,0.997,0.971,True
1006,engagement_baseline,INF-026,signed_mismatch,SIGN,15.0,0.999,0.0,0.997,0.996,False
1006,engagement_baseline,INF-027,signed_mismatch,SIGN,15.0,0.991,0.029,0.875,0.842,False
1006,engagement_baseline,INF-029,declined_clean,DECLINE,10.0,0.981,0.993,0.998,0.973,False
1006,engagement_baseline,INF-031,signed_safety_risk,SIGN,200.0,1.0,1.0,0.347,0.653,False
1006,engagement_baseline,INF-032,declined_clean,DECLINE,10.0,1.0,1.0,1.0,1.0,False
1006,engagement_baseline,INF-033,signed_mismatch,SIGN,15.0,0.999,0.005,0.998,0.991,False
1006,engagement_baseline,INF-035,declined_clean,DECLINE,10.0,0.991,1.0,1.0,0.99,False
1006,engagement_baseline,INF-038,signed_mismatch,SIGN,15.0,0.997,0.0,1.0,0.996,False
1007,v0_threshold,INF-000,signed_sophisticated_fake,SIGN,20.0,0.997,1.0,0.994,0.992,True
1007,v0_expected_cost,INF-000,signed_sophisticated_fake,SIGN,20.0,0.997,1.0,0.994,0.992,True
1007,v1_voi,INF-000,signed_sophisticated_fake,SIGN,20.0,0.997,1.0,0.994,0.992,True
1007,engagement_baseline,INF-000,signed_sophisticated_fake,SIGN,20.0,0.997,1.0,0.994,0.992,True
1007,engagement_baseline,INF-001,signed_crude_fake,SIGN,20.0,0.0,0.0,0.999,0.998,False
1007,engagement_baseline,INF-002,signed_crude_fake,SIGN,20.0,0.0,0.003,1.0,0.997,False
1007,v0_threshold,INF-003,signed_sophisticated_fake,SIGN,20.0,0.78,0.991,0.986,0.762,True
1007,v0_expected_cost,INF-003,signed_sophisticated_fake,SIGN,20.0,0.78,0.991,0.986,0.762,True
1007,engagement_baseline,INF-003,signed_sophisticated_fake,SIGN,20.0,0.78,0.991,0.986,0.762,True
1007,engagement_baseline,INF-004,signed_crude_fake,SIGN,20.0,0.002,0.0,0.999,0.997,False
1007,engagement_baseline,INF-007,signed_mismatch,SIGN,15.0,0.99,0.002,1.0,0.988,False
1007,engagement_baseline,INF-010,signed_safety_risk,SIGN,200.0,0.997,0.997,0.114,0.881,False
1007,engagement_baseline,INF-013,signed_sophisticated_fake,SIGN,20.0,0.995,0.016,0.994,0.973,True
1007,engagement_baseline,INF-015,declined_clean,DECLINE,10.0,0.999,0.953,0.997,0.949,False
1007,engagement_baseline,INF-017,signed_mismatch,SIGN,15.0,0.992,0.004,1.0,0.988,False
1007,engagement_baseline,INF-022,declined_clean,DECLINE,10.0,0.979,0.996,0.966,0.942,False
1007,engagement_baseline,INF-023,signed_safety_risk,SIGN,200.0,0.986,0.011,0.059,0.918,False
1007,engagement_baseline,INF-024,signed_mismatch,SIGN,15.0,1.0,0.0,0.999,0.999,False
1007,engagement_baseline,INF-027,signed_mismatch,SIGN,15.0,0.989,0.0,1.0,0.989,False
1007,engagement_baseline,INF-028,declined_clean,DECLINE,10.0,0.999,0.999,1.0,0.997,False
1007,engagement_baseline,INF-030,signed_mismatch,SIGN,15.0,0.992,0.005,0.997,0.985,False
1007,engagement_baseline,INF-031,signed_mismatch,SIGN,15.0,1.0,0.001,1.0,0.999,False
1007,engagement_baseline,INF-032,signed_mismatch,SIGN,15.0,0.989,0.0,0.627,0.62,False
1007,engagement_baseline,INF-035,signed_crude_fake,SIGN,20.0,0.065,0.999,0.979,0.915,False
1007,engagement_baseline,INF-037,signed_mismatch,SIGN,15.0,0.996,0.001,0.999,0.994,False
1008,engagement_baseline,INF-000,signed_crude_fake,SIGN,20.0,0.0,1.0,0.999,0.999,False
1008,engagement_baseline,INF-012,signed_mismatch,SIGN,15.0,0.995,0.0,0.996,0.991,False
1008,engagement_baseline,INF-014,signed_mismatch,SIGN,15.0,0.991,0.008,0.629,0.618,False
1008,engagement_baseline,INF-015,signed_crude_fake,SIGN,20.0,0.0,1.0,1.0,1.0,False
1008,engagement_baseline,INF-016,signed_mismatch,SIGN,15.0,0.998,0.004,0.852,0.847,False
1008,engagement_baseline,INF-017,signed_crude_fake,SIGN,20.0,0.002,1.0,0.995,0.994,False
1008,engagement_baseline,INF-018,signed_mismatch,SIGN,15.0,1.0,0.0,0.998,0.998,False
1008,engagement_baseline,INF-026,signed_mismatch,SIGN,15.0,0.997,0.0,1.0,0.997,False
1008,engagement_baseline,INF-027,signed_mismatch,SIGN,15.0,1.0,0.043,0.999,0.957,False
1008,engagement_baseline,INF-028,signed_mismatch,SIGN,15.0,1.0,0.004,0.996,0.991,False
1008,engagement_baseline,INF-029,signed_sophisticated_fake,SIGN,20.0,0.748,0.015,0.953,0.702,True
1008,engagement_baseline,INF-030,signed_mismatch,SIGN,15.0,0.999,0.001,0.999,0.997,False
1008,engagement_baseline,INF-034,signed_mismatch,SIGN,15.0,0.999,0.001,1.0,0.998,False
1008,engagement_baseline,INF-037,signed_mismatch,SIGN,15.0,0.999,0.001,0.998,0.997,False
1008,engagement_baseline,INF-038,signed_mismatch,SIGN,15.0,1.0,0.0,0.897,0.897,False
1009,engagement_baseline,INF-000,signed_safety_risk,SIGN,200.0,0.997,0.005,0.226,0.768,True
1009,engagement_baseline,INF-002,declined_clean,DECLINE,10.0,0.997,0.998,0.997,0.993,False
1009,v0_threshold,INF-004,signed_sophisticated_fake,SIGN,20.0,0.851,0.969,0.999,0.824,True
1009,v0_expected_cost,INF-004,signed_sophisticated_fake,SIGN,20.0,0.851,0.969,0.999,0.824,True
1009,v1_voi,INF-004,signed_sophisticated_fake,SIGN,20.0,0.851,0.969,0.999,0.824,True
1009,engagement_baseline,INF-004,signed_sophisticated_fake,SIGN,20.0,0.851,0.969,0.999,0.824,True
1009,engagement_baseline,INF-005,signed_crude_fake,SIGN,20.0,0.0,1.0,0.955,0.955,False
1009,engagement_baseline,INF-007,signed_mismatch,SIGN,15.0,1.0,0.0,0.995,0.994,False
1009,engagement_baseline,INF-010,signed_mismatch,SIGN,15.0,0.971,0.0,0.996,0.967,False
1009,engagement_baseline,INF-011,signed_mismatch,SIGN,15.0,1.0,0.067,1.0,0.933,False
1009,engagement_baseline,INF-018,signed_sophisticated_fake,SIGN,20.0,0.99,0.022,0.995,0.963,True
1009,engagement_baseline,INF-021,signed_mismatch,SIGN,15.0,1.0,0.0,1.0,1.0,False
1009,engagement_baseline,INF-022,signed_mismatch,SIGN,15.0,0.995,0.0,1.0,0.995,False
1009,engagement_baseline,INF-024,signed_mismatch,SIGN,15.0,0.999,0.002,0.995,0.993,False
1009,engagement_baseline,INF-026,declined_clean,DECLINE,10.0,0.994,0.99,0.998,0.982,False
1009,engagement_baseline,INF-033,signed_mismatch,SIGN,15.0,1.0,0.002,0.765,0.763,False
1009,engagement_baseline,INF-037,signed_mismatch,SIGN,15.0,0.987,0.001,0.993,0.979,False
1009,engagement_baseline,INF-038,declined_clean,DECLINE,10.0,0.995,1.0,1.0,0.995,False
1010,engagement_baseline,INF-000,signed_crude_fake,SIGN,20.0,0.0,0.984,1.0,0.984,False
1010,engagement_baseline,INF-004,signed_mismatch,SIGN,15.0,0.998,0.0,0.999,0.997,False
1010,engagement_baseline,INF-006,signed_mismatch,SIGN,15.0,0.998,0.008,0.938,0.928,False
1010,engagement_baseline,INF-010,declined_clean,DECLINE,10.0,1.0,0.999,1.0,0.999,False
1010,engagement_baseline,INF-020,signed_mismatch,SIGN,15.0,1.0,0.006,0.965,0.959,False
1010,engagement_baseline,INF-021,signed_safety_risk,SIGN,200.0,0.998,0.999,0.483,0.515,True
1010,engagement_baseline,INF-023,signed_mismatch,SIGN,15.0,1.0,0.047,0.999,0.952,False
1010,v0_threshold,INF-028,signed_sophisticated_fake,SIGN,20.0,0.988,0.993,0.994,0.975,True
1010,v0_expected_cost,INF-028,signed_sophisticated_fake,SIGN,20.0,0.988,0.993,0.994,0.975,True
1010,v1_voi,INF-028,signed_sophisticated_fake,SIGN,20.0,0.988,0.993,0.994,0.975,True
1010,engagement_baseline,INF-028,signed_sophisticated_fake,SIGN,20.0,0.988,0.993,0.994,0.975,True
1010,engagement_baseline,INF-030,signed_mismatch,SIGN,15.0,1.0,0.008,1.0,0.992,False
1010,engagement_baseline,INF-031,signed_mismatch,SIGN,15.0,1.0,0.0,0.992,0.992,False
1010,engagement_baseline,INF-032,declined_clean,DECLINE,10.0,0.982,0.982,1.0,0.964,False
1010,engagement_baseline,INF-033,signed_mismatch,SIGN,15.0,0.994,0.047,0.995,0.942,False
1010,engagement_baseline,INF-035,signed_mismatch,SIGN,15.0,1.0,0.003,0.987,0.984,False
1010,v0_threshold,INF-036,signed_sophisticated_fake,SIGN,20.0,0.954,0.998,0.998,0.952,True
1010,v0_expected_cost,INF-036,signed_sophisticated_fake,SIGN,20.0,0.954,0.998,0.998,0.952,True
1010,v1_voi,INF-036,signed_sophisticated_fake,SIGN,20.0,0.954,0.998,0.998,0.952,True
1010,engagement_baseline,INF-036,signed_sophisticated_fake,SIGN,20.0,0.954,0.998,0.998,0.952,True
1010,engagement_baseline,INF-037,signed_mismatch,SIGN,15.0,0.994,0.0,0.999,0.993,False
1010,engagement_baseline,INF-038,signed_mismatch,SIGN,15.0,0.998,0.0,0.921,0.92,False
1010,v0_threshold,INF-039,signed_sophisticated_fake,SIGN,20.0,0.984,1.0,0.968,0.953,True
1010,v0_expected_cost,INF-039,signed_sophisticated_fake,SIGN,20.0,0.984,1.0,0.968,0.953,True
1011,v0_threshold,INF-001,signed_sophisticated_fake,SIGN,20.0,0.998,1.0,0.997,0.995,True
1011,v0_expected_cost,INF-001,signed_sophisticated_fake,SIGN,20.0,0.998,1.0,0.997,0.995,True
1011,v1_voi,INF-001,signed_sophisticated_fake,SIGN,20.0,0.998,1.0,0.997,0.995,True
1011,engagement_baseline,INF-001,signed_sophisticated_fake,SIGN,20.0,0.998,1.0,0.997,0.995,True
1011,v0_expected_cost,INF-003,signed_sophisticated_fake,SIGN,20.0,0.673,0.995,0.997,0.668,True
1011,v0_threshold,INF-006,signed_sophisticated_fake,SIGN,20.0,0.999,1.0,1.0,0.998,True
1011,v0_expected_cost,INF-006,signed_sophisticated_fake,SIGN,20.0,0.999,1.0,1.0,0.998,True
1011,v1_voi,INF-006,signed_sophisticated_fake,SIGN,20.0,0.999,1.0,1.0,0.998,True
1011,engagement_baseline,INF-006,signed_sophisticated_fake,SIGN,20.0,0.999,1.0,1.0,0.998,True
1011,engagement_baseline,INF-007,signed_mismatch,SIGN,15.0,0.998,0.001,0.976,0.973,False
1011,engagement_baseline,INF-010,signed_crude_fake,SIGN,20.0,0.001,1.0,0.997,0.997,False
1011,engagement_baseline,INF-012,declined_clean,DECLINE,10.0,0.999,0.959,0.992,0.951,False
1011,engagement_baseline,INF-013,signed_mismatch,SIGN,15.0,1.0,0.0,0.995,0.995,False
1011,engagement_baseline,INF-015,signed_mismatch,SIGN,15.0,0.879,0.021,0.998,0.859,False
1011,engagement_baseline,INF-021,signed_crude_fake,SIGN,20.0,0.0,0.02,1.0,0.979,False
1011,v0_threshold,INF-026,signed_sophisticated_fake,SIGN,20.0,1.0,0.999,0.998,0.997,True
1011,v0_expected_cost,INF-026,signed_sophisticated_fake,SIGN,20.0,1.0,0.999,0.998,0.997,True
1011,v1_voi,INF-026,signed_sophisticated_fake,SIGN,20.0,1.0,0.999,0.998,0.997,True
1011,engagement_baseline,INF-026,signed_sophisticated_fake,SIGN,20.0,1.0,0.999,0.998,0.997,True
