seed,policy,total_cost,signed,signed_unsafe,signed_inauthentic,signed_sophisticated,declined_clean,human_review_rate,gift_rate,analytics_rate
1012,v0_threshold,-68.0,18,0,3,3,0,0.075,0.0,0.175
1012,v0_expected_cost,-75.0,17,0,3,3,0,0.0,0.0,0.125
1012,v1_voi,-50.0,16,0,3,3,0,0.1,0.0,0.0
1012,engagement_baseline,390.0,26,1,7,6,6,0.0,0.0,0.0
1013,v0_threshold,-109.0,23,0,3,3,1,0.075,0.0,0.15
1013,v0_expected_cost,-137.0,23,0,3,3,0,0.0,0.0,0.075
1013,v1_voi,-135.0,23,0,3,3,0,0.025,0.0,0.0
1013,engagement_baseline,630.0,31,3,8,3,3,0.0,0.0,0.0
1014,v0_threshold,-127.0,17,0,1,1,0,0.05,0.0,0.075
1014,v0_expected_cost,-138.0,17,0,1,1,0,0.0,0.0,0.05
1014,v1_voi,-134.0,17,0,1,1,0,0.025,0.0,0.025
1014,engagement_baseline,370.0,29,1,2,1,4,0.0,0.0,0.0
1015,v0_threshold,-132.0,23,0,3,3,0,0.025,0.0,0.075
1015,v0_expected_cost,-128.0,22,0,3,3,0,0.0,0.0,0.05
1015,v1_voi,-95.0,20,0,3,3,0,0.075,0.0,0.0
1015,engagement_baseline,145.0,34,0,6,4,3,0.0,0.0,0.0
1016,v0_threshold,-7.0,11,0,2,2,1,0.125,0.0,0.2
1016,v0_expected_cost,-41.0,11,0,2,2,0,0.025,0.0,0.1
1016,v1_voi,-35.0,9,0,1,1,0,0.125,0.0,0.0
1016,engagement_baseline,745.0,29,3,7,6,0,0.0,0.0,0.0
1017,v0_threshold,-108.0,16,0,1,1,0,0.075,0.0,0.175
1017,v0_expected_cost,-126.0,16,0,1,1,0,0.0,0.0,0.1
1017,v1_voi,-124.0,16,0,1,1,0,0.025,0.0,0.025
1017,engagement_baseline,465.0,31,2,6,4,0,0.0,0.0,0.0
1018,v0_threshold,-84.0,22,0,4,4,0,0.05,0.0,0.15
1018,v0_expected_cost,-105.0,20,0,3,3,0,0.0,0.0,0.125
1018,v1_voi,-74.0,19,0,3,3,0,0.125,0.0,0.025
1018,engagement_baseline,540.0,30,2,6,4,4,0.0,0.0,0.0
1019,v0_threshold,-89.0,19,0,3,3,0,0.025,0.0,0.15
1019,v0_expected_cost,-96.0,19,0,3,3,0,0.0,0.0,0.1
1019,v1_voi,-89.0,19,0,3,3,0,0.05,0.0,0.025
1019,engagement_baseline,130.0,31,0,6,4,1,0.0,0.0,0.0
1020,v0_threshold,-36.0,20,0,5,5,1,0.0,0.0,0.1
1020,v0_expected_cost,-38.0,19,0,5,5,0,0.0,0.0,0.05
1020,v1_voi,-30.0,19,0,5,5,0,0.05,0.0,0.0
1020,engagement_baseline,305.0,30,0,9,7,6,0.0,0.0,0.0
1021,v0_threshold,-103.0,16,0,1,1,0,0.1,0.0,0.175
1021,v0_expected_cost,-103.0,14,0,1,1,0,0.0,0.0,0.175
1021,v1_voi,-60.0,12,0,1,1,0,0.15,0.0,0.0
1021,engagement_baseline,750.0,31,3,9,4,2,0.0,0.0,0.0
1022,v0_threshold,-98.0,20,0,3,3,0,0.025,0.0,0.175
1022,v0_expected_cost,-96.0,19,0,3,3,0,0.0,0.0,0.1
1022,v1_voi,-80.0,19,0,3,3,0,0.1,0.0,0.0
1022,engagement_baseline,55.0,30,0,4,3,1,0.0,0.0,0.0
1023,v0_threshold,18.0,26,1,2,2,0,0.025,0.0,0.075
1023,v0_expected_cost,-196.0,23,0,1,1,0,0.0,0.0,0.1
1023,v1_voi,-180.0,23,0,1,1,0,0.1,0.0,0.0
1023,engagement_baseline,245.0,28,1,1,0,6,0.0,0.0,0.0
1024,v0_threshold,-149.0,20,0,1,1,0,0.075,0.0,0.15
1024,v0_expected_cost,-157.0,19,0,1,1,0,0.0,0.0,0.075
1024,v1_voi,-150.0,19,0,1,1,0,0.05,0.0,0.0
1024,engagement_baseline,460.0,29,2,4,2,4,0.0,0.0,0.0
1025,v0_threshold,-124.0,15,0,0,0,1,0.05,0.0,0.15
1025,v0_expected_cost,-135.0,14,0,0,0,0,0.0,0.0,0.125
1025,v1_voi,-113.0,13,0,0,0,0,0.075,0.0,0.05
1025,engagement_baseline,485.0,28,2,3,2,3,0.0,0.0,0.0
1026,v0_threshold,-87.0,23,0,4,4,0,0.1,0.0,0.075
1026,v0_expected_cost,-93.0,22,0,4,4,0,0.025,0.0,0.05
1026,v1_voi,-95.0,22,0,4,4,0,0.025,0.0,0.0
1026,engagement_baseline,710.0,31,3,6,3,4,0.0,0.0,0.0
1027,v0_threshold,-118.0,14,0,0,0,0,0.075,0.0,0.175
1027,v0_expected_cost,-132.0,14,0,0,0,0,0.025,0.0,0.075
1027,v1_voi,-109.0,13,0,0,0,1,0.05,0.0,0.025
1027,engagement_baseline,245.0,24,0,3,1,7,0.0,0.0,0.0
1028,v0_threshold,-148.0,17,0,0,0,0,0.075,0.0,0.175
1028,v0_expected_cost,-155.0,16,0,0,0,0,0.0,0.0,0.125
1028,v1_voi,-118.0,14,0,0,0,0,0.1,0.0,0.05
1028,engagement_baseline,725.0,29,3,5,2,4,0.0,0.0,0.0
1029,v0_threshold,-80.0,24,0,3,3,0,0.075,0.0,0.125
1029,v0_expected_cost,-83.0,23,0,3,3,0,0.0,0.0,0.175
1029,v1_voi,-94.0,22,0,2,2,0,0.075,0.0,0.025
1029,engagement_baseline,720.0,29,3,6,6,5,0.0,0.0,0.0
